name,location,price,taxes,stars,ratings,condition,feature1,feature2,feature3
Capital O Pv Residency Near Nagasandra Metro Station,"Near Sapthagiri engineering college, Jalahalli - West, Bengaluru",₹553,+ ₹96 taxes & fees,3.3,(124 Ratings),Fair,Free Wifi,,
Collection O Naidu Palace Near Iskcon Temple Bangalore,"Near Dhobi Ghat junction, Rajajinagar, Bangalore",₹942,+ ₹153 taxes & fees,4.2,(894 Ratings),Very Good,Private entrance,Doctor on call,Reception
Townhouse Oak JVH hotel (Next to Mysore Road Metro Station),"India, Bangalore",₹775,+ ₹133 taxes & fees,4.9,(1094 Ratings),Fabulous,Ticket tour assistance,Reception,Caretaker
Super OYO Townhouse Reva College University (BLR3290),"India, Bangalore",₹1031,+ ₹164 taxes & fees,4.9,(1899 Ratings),Fabulous,Elevator,Reception,Free Wifi
Collection O Hotel 29 Church's Inn Near Cubbon Park,"Bangalore City Center, Bangalore",₹1052,+ ₹156 taxes & fees,5.0,(316 Ratings),Fabulous,Parking facility,Elevator,Free Wifi
Collection O Cka Boarding And Lodging,"Yelahanka, Bangalore",₹544,+ ₹105 taxes & fees,4.3,(49 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO The Purple Orchid Stay,"India, Bangalore",₹627,+ ₹115 taxes & fees,3.9,(471 Ratings),Good,Reception,Free Wifi,Geyser
Collection O Hotel Marella Grand Inn,"Uttarahalli main road RR Nagar, Bangalore",₹686,+ ₹122 taxes & fees,4.8,(11 Ratings),Excellent,Elevator,Free Wifi,Geyser
Super OYO Collection O Sabharwal Residency Near Lalbagh Botanical Garden,"Opposite Shanthinagar, Bangalore",₹963,+ ₹156 taxes & fees,4.3,(1125 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO White Pearl Resort,"82, Bangalore",₹508,+ ₹91 taxes & fees,4.0,(259 Ratings),Very Good,Free Wifi,Geyser,Power backup
OYO 9528 Midas Casita,"Near Quickr Office, P & T layout, Bangalore",₹525,+ ₹113 taxes & fees,4.3,(417 Ratings),Very Good,Hair Dryer,Reception,Free Wifi
SPOT ON R K Residency,"Bangalore , Bangalore",₹410,+ ₹89 taxes & fees,3.7,(54 Ratings),Good,Free Wifi,Geyser,Power backup
Collection O Manyata Palace,"Near Manyata Tech Park Gate 4, Bangalore",₹660,+ ₹129 taxes & fees,4.5,(886 Ratings),Excellent,Parking facility,Ticket tour assistance,Reception
Collection O Silver Key Hotel,"Huskur Road, Bangalore",₹935,+ ₹152 taxes & fees,4.6,(92 Ratings),Excellent,Elevator,Free Wifi,Geyser
OYO Orange Residency,"Near Acharaya Institute, Chickabanawara, Bangalore",₹499,+ ₹100 taxes & fees,3.4,(129 Ratings),Fair,Reception,Free Wifi,Power backup
Flagship White Fort,"Dispensary Rd, Kalasipalya,Bangalore",₹555,+ ₹107 taxes & fees,4.3,(533 Ratings),Very Good,Parking facility,Elevator,Free Wifi
OYO Petuni Boutique Modern Chic Hotel,"Silver Springs Layout, Bangalore",₹933,+ ₹182 taxes & fees,4.5,(764 Ratings),Excellent,Elevator,Free Wifi,Geyser
