name,location,price,taxes,stars,ratings,condition,feature1,feature2,feature3
"Capital O Royal Keys Near Brookfield Mall, AECS Layout","Near ITPL Main Rd, AECS Layout, Bengaluru",₹1209,+ ₹195 taxes & fees,4.3,(1190 Ratings),Very Good,Reception,Free Wifi,Caretaker
OYO Royal Inn Near Iskcon Temple Bangalore,"Near 14th Main Road, Rajaji Nagar, Bangalore",₹478,+ ₹127 taxes & fees,3.5,(141 Ratings),Good,Reception,Free Wifi,Power backup
Super OYO Collection O Global Stay Near Kengeri Bus Terminal Metro Station,"R V Layout, Bangalore",₹1412,+ ₹240 taxes & fees,4.7,(726 Ratings),Excellent,Elevator,Parking facility,Free Wifi
Collection O Hotel Blueberry Near 7D Voyage,"Near Lane 11, Bengaluru, Bangalore",₹1099,+ ₹172 taxes & fees,4.0,(526 Ratings),Very Good,Parking facility,Reception,Free Wifi
Collection O Srinidhi Inn,"Attur Layout, Bangalore",₹921,+ ₹151 taxes & fees,4.8,(21 Ratings),Excellent,Free Wifi,Geyser,Power backup
OYO Townhouse Boutique Hotel 242 Sarjapur Road,"Near Wipro New Office, Kodathi, Bengaluru",₹1233,+ ₹188 taxes & fees,3.7,(465 Ratings),Good,Free Wifi,Power backup,CCTV cameras
Collection O 3664 Hotel Shivaals Residency,"Rajajinagar, Bangalore",₹782,+ ₹124 taxes & fees,3.8,(43 Ratings),Good,Doctor on call,Parking facility,Reception
Flagship Chalukya Comforts,"kengeri satellite Town, Bangalore",₹499,+ ₹100 taxes & fees,3.2,(56 Ratings),Fair,Elevator,Free Wifi,Geyser
Super OYO Capital O Savi International Near Bengaluru Palace,"Near Mantri Square Mall, Sheshadripuram, Bangalore",₹1191,+ ₹193 taxes & fees,4.2,(321 Ratings),Very Good,Reception,Free Wifi,Caretaker
OYO Shree Mookambika Guest House Near Sri Someshwara Swami Temple,"Kormangla, Bangalore",₹808,+ ₹147 taxes & fees,4.4,(560 Ratings),Very Good,Hair Dryer,Free Wifi,AC
Capital O Gn Suites Near OM SHAKTHI TEMPLE,"Near Sub Registrar Office, Banaswadi, Bangalore",₹979,+ ₹147 taxes & fees,4.0,(569 Ratings),Very Good,Reception,Power backup,24/7 check-in
OYO Townhouse 159 Sarjapur Ace Hotel,"Near Doddakannelli, Bangalore",₹1373,+ ₹205 taxes & fees,4.2,(931 Ratings),Very Good,Doctor on call,Reception,Power backup
Capital O Tierra Woods Manyata,"Manyata Gate No.5, Rachenahalli Main Road",₹776,+ ₹123 taxes & fees,3.9,(254 Ratings),Good,Doctor on call,Reception,Ticket tour assistance
Super OYO Townhouse 264 - Q Rooms BTM Layout Near Gopalan Innovation Mall,"Near BTM Water Tank, Mico Layout, Bangalore",₹1592,+ ₹231 taxes & fees,4.8,(1062 Ratings),Excellent,Private entrance,Reception,Free Wifi
Royal Bliss International,"Near Brand Factory, Bilekahalli, Bangalore",₹767,+ ₹142 taxes & fees,3.6,(303 Ratings),Good,Parking facility,Free Wifi,Power backup
OYO Flagship Together,"Bangalore South, Bangalore",₹873,+ ₹145 taxes & fees,4.0,(706 Ratings),Very Good,Reception,Free Wifi,Power backup
OYO Flagship Manjushree Boarding & Lodging nearby Dr.BR Ambedkar Stadium  Basveshwar nagar,"Basaveshwar Nagar, Bangalore",₹607,+ ₹113 taxes & fees,4.2,(58 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Flagship NEW TOWNHOUSE,"Shivanahalli 2nd Stage, Bangalore",₹609,+ ₹113 taxes & fees,3.6,(104 Ratings),Good,Free Wifi,Geyser,Power backup
Flagship Peenya Gymkhana,"Peenya Industrial Areanear Nttf Circle, Bangalore",₹670,+ ₹120 taxes & fees,3.8,(105 Ratings),Good,Free Wifi,Geyser,Power backup
Collection O Hotel Ashraya Paradise,"Rajajinagar, Bangalore",₹832,+ ₹140 taxes & fees,4.6,(66 Ratings),Excellent,Elevator,Free Wifi,Geyser
OYO Sri Ranganatha Boarding And Lodging,"Bangalore Urban, Bangalore",₹526,+ ₹103 taxes & fees,3.8,(30 Ratings),Good,Reception,Public washroom,Caretaker
Capital O Champion Lotus Near Mantri Square Mall,"Near IIFT, Vijayanagar, Bangalore",₹1122,+ ₹185 taxes & fees,4.3,(925 Ratings),Very Good,Reception,Power backup,Security
Collection O Pride Manyata,"Near Manyatha Tech Park, P & T Layout, Bangalore",₹617,+ ₹114 taxes & fees,3.6,(326 Ratings),Good,Private entrance,Parking facility,Reception
Collection O Hotel Alfa Inn,"Koramangala, Bangalore",₹608,+ ₹113 taxes & fees,3.3,(32 Ratings),Fair,Elevator,Free Wifi,Geyser
Flagship Elite Stay Near Sri Sathya Ganapathi Shirdi Saibaba Temple,"Jp Nagar, Bangalore",₹659,+ ₹119 taxes & fees,3.5,(232 Ratings),Good,Elevator,Geyser,Power backup
OYO 29402 Subharaga Hotel,"Near Manyata Tech Park, Telecom Layout, Bangalore",₹567,+ ₹108 taxes & fees,3.8,(22 Ratings),Good,Hair Dryer,Free Wifi,Caretaker
SPOT ON Chaluva Boarding& Lodging,"Srigandadakaval., Bangalore",₹506,+ ₹101 taxes & fees,4.1,(18 Ratings),Very Good,Free Wifi,Geyser,Power backup
OYO Flagship 79381 DM Residency Near Goraguntepalya Metro Station,"Rajarajeshwari Nagar Zone, Bangalore",₹499,+ ₹100 taxes & fees,3.7,(62 Ratings),Good,Reception,Free Wifi,Caretaker
SPOT ON Hotel Slv Boarding & Lodging,"Anekal Taluk, Bangalore",₹410,+ ₹89 taxes & fees,3.6,(82 Ratings),Good,Free Wifi,Geyser,Power backup
Collection O Status Suites,"Bangalore , Bangalore",₹973,+ ₹157 taxes & fees,3.9,(105 Ratings),Good,Elevator,Free Wifi,Geyser
OYO Mn Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Madiwala,  South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, - 560034, India Bangalore.",₹846,+ ₹151 taxes & fees,4.2,(474 Ratings),Very Good,Doctor on call,Parking facility,Reception
Flagship Shri Sai Boarding And Lodging Near Nagasandra Metro Station,"Nelagadaranahalli Village , Bangalore",₹499,+ ₹100 taxes & fees,3.6,(97 Ratings),Good,Free Wifi,Extra Mattress Possible,Geyser
OYO Ganesh Lodge,"Hobli, Bangalore",₹463,+ ₹96 taxes & fees,NEW,,,Free Wifi,Geyser,Power backup
Collection O Royal Ruby Hotel Electronic City Phase 1,"Electronics City Phase 1, Bangalore",₹609,+ ₹113 taxes & fees,3.6,(38 Ratings),Good,Elevator,Free Wifi,Geyser
Capital O Spf Palace,"Near Chandapura Market, Anekal, Bangalore",₹818,+ ₹168 taxes & fees,4.0,(391 Ratings),Very Good,Parking facility,Free Wifi,Power backup
Capital O Victorian Comforts Near Sri Someshwara Swami Temple,"Near Adams Creation, Victoria Layout, Bangalore",₹1064,+ ₹168 taxes & fees,3.8,(949 Ratings),Good,Reception,Free Wifi,Power backup
SPOT ON Shree Sai Comforts,"no 4/1 mantap grama gigani hobali, Bangalore",₹410,+ ₹89 taxes & fees,3.4,(35 Ratings),Fair,Elevator,Free Wifi,Geyser
OYO Emara Residency,"Bangalore Southnull, Bangalore",₹739,+ ₹129 taxes & fees,3.7,(475 Ratings),Good,Reception,Free Wifi,Geyser
Collection O Daivik Sunset Suites,"Hegganahalli Peenya 2nd stage, Bangalore",₹839,+ ₹141 taxes & fees,4.7,(4 Ratings),Excellent,Elevator,Free Wifi,Geyser
Collection O Hotel Emara Inn Near Ascendas Park Square Mall,"Belathur Main Roadnull, Bangalore",₹542,+ ₹105 taxes & fees,3.6,(53 Ratings),Good,Parking facility,Free Wifi,Geyser
Collection O Druvin Boutique Hotel,", Bangalore",₹669,+ ₹120 taxes & fees,2.7,(11 Ratings),Fair,Reception,Caretaker,Power backup
OYO Flagship Metro Inn Rooms,"Rachenahalli Main road, Bangalore",₹499,+ ₹100 taxes & fees,3.8,(16 Ratings),Good,Elevator,Free Wifi,Geyser
Flagship Gn Nelli Suites,"Old Madras Road Banglore, Bangalore",₹573,+ ₹99 taxes & fees,3.4,(260 Ratings),Fair,Elevator,Free Wifi,Geyser
OYO Nr Comfort,Opposite to Life Care Hospital,₹828,+ ₹169 taxes & fees,4.5,(25 Ratings),Excellent,Doctor on call,Reception,Ticket tour assistance
Flagship Honnagiri Residency,"Kaveri Nagar, Bangalore",₹514,+ ₹92 taxes & fees,3.5,(53 Ratings),Good,Parking facility,Free Wifi,Geyser
OYO Flagship NR Residency Near Nexus Mall Koramangala,"Near Teacher's colony Park, Jakkasandra, Bangalore",₹745,+ ₹129 taxes & fees,3.2,(232 Ratings),Fair,Elevator,Reception,Free Wifi
"OYO Flagship Vasudha inn, Hoskote","Karnataka , Bangalore",₹1046,+ ₹166 taxes & fees,3.8,(63 Ratings),Good,Free Wifi,Geyser,Power backup
Super OYO Manyata Stay-In,"Beside Sri Sai pickle shop, Manyata Gate 5, Rachenahalli Main Road, 3rd cross P&t Layout, Bangalore",₹1254,+ ₹191 taxes & fees,4.8,(1535 Ratings),Excellent,Ticket tour assistance,Reception,Caretaker
OYO Pmr Elitestay Hotel Near Ascendas Park Square Mall,"Near Thallasary Restaurant, Prasanth Layout, Bangalore",₹804,+ ₹137 taxes & fees,3.3,(433 Ratings),Fair,Parking facility,Free Wifi,Bedside Table / Desk
OYO Flagship Gayathri Lodging & Boarding,"Mantri Layout, Bangalore",₹499,+ ₹100 taxes & fees,2.8,(6 Ratings),Fair,Elevator,Free Wifi,Geyser
Collection O Sln Suites,"Behind Baptist Hospital, Hebbal",₹1261,+ ₹191 taxes & fees,4.0,(33 Ratings),Very Good,Private entrance,Parking facility,Reception
SPOT ON Sri Ranganatha Boarding & Lodging,"Kamath Layout, Bangalore",₹544,+ ₹105 taxes & fees,5.0,(1 Ratings),Fabulous,Free Wifi,Geyser,Power backup
Flagship Mathrushree Bording And Lodging,Addiganahalli Bangalore,₹499,+ ₹100 taxes & fees,3.0,(57 Ratings),Fair,Elevator,Free Wifi,Geyser
OYO Flagship Hotel Shiva Shakthi Inn,"J P Nagar, Bangalore",₹699,+ ₹124 taxes & fees,4.0,(28 Ratings),Very Good,Elevator,Free Wifi,Geyser
Super OYO Townhouse 149 Siri Residency,"Bhuvaneswari Nagar, Bangalore",₹1425,+ ₹201 taxes & fees,4.4,(202 Ratings),Very Good,Free Wifi,Daily housekeeping,AC
OYO Chinthu Comforts,"Near Siddaganga Mata, Kythasandra, Bangalore",₹850,+ ₹142 taxes & fees,3.4,(26 Ratings),Fair,Private entrance,Reception,Free Wifi
OYO Flagship Surya Residency,"Near ITC Factory, Tarabanahalli, Bangalore",₹574,+ ₹109 taxes & fees,3.3,(151 Ratings),Fair,Hair Dryer,Parking facility,Free Wifi
OYO Flagship Sri Sai Lodge,"Karnataka 560090 danvantari complex, Bangalore",₹499,+ ₹100 taxes & fees,3.7,(12 Ratings),Good,Elevator,Free Wifi,Geyser
OYO Flagship Blooms Residency Near Baiyappanahalli Metro Station,"Bangalore East, Bangalore",₹1170,+ ₹190 taxes & fees,4.4,(447 Ratings),Very Good,Doctor on call,Hair Dryer,Parking facility
Flagship Hotel Royal Comfort Near Cubbon Park,"Gandhinagar, Bangalore",₹1233,+ ₹188 taxes & fees,4.1,(165 Ratings),Very Good,AC,TV,
Townhouse OAK Sky Inn Near Nagasandra Metro Station,"Sampangiramaiah Layout, Bangalore",₹1230,+ ₹188 taxes & fees,3.7,(194 Ratings),Good,Doctor on call,Reception,Ticket tour assistance
Collection O Vijaya Lakshmi Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"5600011, Bangalore",₹729,+ ₹128 taxes & fees,3.6,(202 Ratings),Good,Doctor on call,Reception,Power backup
Townhouse 1249 Dharan Residency Bommasandra,", Bangalore",₹1056,+ ₹167 taxes & fees,4.0,(67 Ratings),Very Good,Free Wifi,Balcony,Cot
Collection O Sri Sapthagiri Near Phoenix Marketcity,"Old Madras Road, Near TC Palya Signal Kr puram, Bangalore",₹646,+ ₹108 taxes & fees,3.1,(38 Ratings),Fair,Elevator,Parking facility,Free Wifi
Collection O Tierra Woods,"Bangalore , Bangalore",₹900,+ ₹148 taxes & fees,4.1,(192 Ratings),Very Good,Elevator,Free Wifi,Geyser
Collection O Royal Elevar,"Dasarahalli, Bangalore",₹1127,+ ₹175 taxes & fees,4.3,(569 Ratings),Very Good,Elevator,Free Wifi,Geyser
Super OYO Townhouse 076 Hebbal,"Dasarahalli, Bangalore",₹847,+ ₹152 taxes & fees,4.1,(72 Ratings),Very Good,Doctor on call,Private entrance,Parking facility
SPOT ON Suparna Boarding And Lodging Hotel And Restaurant,"40/15 kachohalli chikkagollahatti Magadi main road opposite Royal oak, Bangalore",₹410,+ ₹89 taxes & fees,3.2,(10 Ratings),Fair,Free Wifi,Geyser,Power backup
OYO Flagship Nelli Suites,"E Block, Bangalore",₹963,+ ₹156 taxes & fees,4.1,(52 Ratings),Very Good,Parking facility,Reception,Free Wifi
OYO Jk Residency,"Near MMR Shopping Complex, Kammasandra, Bangalore",₹662,+ ₹129 taxes & fees,3.5,(35 Ratings),Good,Free Wifi,AC,TV
Collection O The Mass Residency By D2v,"Madiwala, Bangalore",₹812,+ ₹137 taxes & fees,3.6,(76 Ratings),Good,Elevator,Free Wifi,Geyser
Capital O The Udupi Park Boutique Hotel Near Ascendas Park Square Mall,"Bangalore Urban, Bangalore",₹1120,+ ₹194 taxes & fees,3.5,(102 Ratings),Good,Doctor on call,Reception,Free Wifi
Collection O  Emara Delight Executives Rooms,"Electronic Postnull, Bangalore",₹1087,+ ₹170 taxes & fees,4.3,(35 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Flagship 812664 Slv Hotel,"Vidyaranyapura, Bangalore",₹499,+ ₹100 taxes & fees,3.5,(19 Ratings),Good,Elevator,Free Wifi,Geyser
Super OYO Collection O 73977 Malleswaram,"Near Bsnl Office, Emerald Residency, Bangalore",₹1585,+ ₹230 taxes & fees,4.3,(264 Ratings),Very Good,Free Wifi,Daily housekeeping,AC
OYO Mourya Residency,"Near Wonderla Gate, Mysore Road",₹676,+ ₹111 taxes & fees,3.9,(9 Ratings),Good,Reception,Free Wifi,Geyser
OYO VISHWAS LODGE,"PEENYA, Bangalore",₹514,+ ₹92 taxes & fees,3.0,(1 Ratings),Fair,Reception,Geyser,Daily housekeeping
OYO Sri Ranga Boarding & Lodging,"Yelahanka Hobli, Bangalore",₹671,+ ₹120 taxes & fees,4.5,(8 Ratings),Excellent,Free Wifi,Geyser,Power backup
Collection O High Inn,"Karnataka, Bangalore",₹573,+ ₹109 taxes & fees,3.3,(67 Ratings),Fair,Free Wifi,AC,TV
Flagship Hotel Amster Inn,"Near Mysore RD. Metro Station, FCI Layout, Bangalore",₹674,+ ₹121 taxes & fees,3.7,(98 Ratings),Good,Private entrance,Reception,Free Wifi
OYO Kings 10 Near Snow City,"Centrally Located, Near, HMT Layout Bus Stop, R.T.Nagar, Bangalore",₹1353,+ ₹192 taxes & fees,4.4,(336 Ratings),Very Good,Free Wifi,Daily housekeeping,AC
Collection O Sathyajyothi Comforts Near Deepanjali Nagar Metro Station,"Girinagar, Bangalore",₹961,+ ₹165 taxes & fees,4.2,(462 Ratings),Very Good,Reception,Free Wifi,Power backup
OYO Flagship Mathrushree Lodge,"ADDEVISHWANATHAPURA VILLAGE. BANGALORE URBAN DISTRICT., Bangalore",₹499,+ ₹100 taxes & fees,3.5,(30 Ratings),Good,Elevator,Free Wifi,Geyser
Collection O 49608 Champion Prince,"Near Indira Canteen, Nehru Nagar, Bengaluru",₹833,+ ₹140 taxes & fees,3.5,(43 Ratings),Good,Reception,Free Wifi,Power backup
Super OYO Townhouse OAK Clove Boutique Hotel Rajaji Nagar Near Lulu Mall Bengaluru,"4th Block, Rajaji Nagar, Bangalore",₹2046,+ ₹285 taxes & fees,4.9,(914 Ratings),Fabulous,Reception,Free Wifi,Caretaker
OYO Townhouse 238 Tierra Woods Near Halasuru Metro Station,"Halasuru, Bangalore",₹1702,+ ₹254 taxes & fees,4.3,(835 Ratings),Very Good,Doctor on call,Parking facility,Reception
SPOT ON M B R Guest House Near Ascendas Park Square Mall,"Opp To Sai Baba Ashram, Bangalore",₹450,+ ₹94 taxes & fees,3.3,(71 Ratings),Fair,Elevator,Geyser,Power backup
OYO Flagship Hmr Hotel Near Iskcon Temple Bangalore,"Rajajinagar, Bangalore",₹1083,+ ₹170 taxes & fees,5.0,(133 Ratings),Fabulous,Free Wifi,Geyser,Power backup
SPOT ON Radha Krishna Deluxe Lodge Near Cubbon Park,"Near Cottonpet Main Road, Bangalore",₹595,+ ₹111 taxes & fees,2.9,(195 Ratings),Fair,Reception,Free Wifi,Power backup
OYO Royal Grand Residency Near Lalbagh Botanical Garden,"Bangalore Karnataka, Bangalore",₹535,+ ₹114 taxes & fees,3.6,(258 Ratings),Good,Doctor on call,Reception,Ticket tour assistance
OYO Flagship Hotel Ayodhya,"Near Bangalore University, Bangalore",₹963,+ ₹156 taxes & fees,4.4,(72 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Flagship Vsv Avenue Hennur Near Sri Amruth Chithra Mandira,"(landmark Krishna Medical Store) Oposite Krishna Leela Grand Hotel, Bangalore",₹935,+ ₹142 taxes & fees,4.2,(506 Ratings),Very Good,Free Wifi,Geyser,Power backup
OYO Flagship Mathrushree Inn,"Acharya College Road, Bangalore",₹572,+ ₹99 taxes & fees,3.4,(9 Ratings),Fair,Free Wifi,Geyser,Power backup
OYO Flagship Rich Inn Premium Suites Near Nagasandra Metro Station.,"Sidedahalli, Bangalore",₹814,+ ₹138 taxes & fees,4.2,(3 Ratings),Very Good,Free Wifi,Geyser,Power backup
SPOT ON Srinivasa Boarding And Lodging Near Vijayanagar Metro Station,"Near N R Colony, Sajjepalya, Bangalore",₹453,+ ₹94 taxes & fees,3.2,(318 Ratings),Fair,TV,,
Collection O 62387 Emara Grand Hotel,"H S R Layout, Bangalore",₹1361,+ ₹193 taxes & fees,4.4,(30 Ratings),Very Good,Private entrance,Reception,Caretaker
Collection O Hotel Skyline,"B S K 2nd Stage, Bangalore",₹1039,+ ₹175 taxes & fees,3.2,(49 Ratings),Fair,Reception,Free Wifi,Caretaker
Capital O Royal Manyata,"Gate Number 4, Bangalore",₹796,+ ₹156 taxes & fees,4.0,(337 Ratings),Very Good,Parking facility,Reception,Free Wifi
Collection O Sri Sai Ram Suites,"Bangalore Karnataka India, Bangalore",₹986,+ ₹158 taxes & fees,4.4,(201 Ratings),Very Good,Free Wifi,AC,TV
OYO Blooms Inn,"Bangalore Urban, Bangalore",₹933,+ ₹152 taxes & fees,4.1,(83 Ratings),Very Good,Doctor on call,Parking facility,Reception
SPOT ON Balaji Residency near Yeshwantupur Railway Station,"L N Colony, Bangalore",₹597,+ ₹102 taxes & fees,3.2,(216 Ratings),Fair,AC,TV,Queen Sized Bed
SPOT ON 701125 Sri Saptagiri Bording & Lodging,"Dasarahalli Zone Hegganahalli Main Road, Bangalore",₹499,+ ₹100 taxes & fees,2.8,(48 Ratings),Fair,Elevator,Free Wifi,Geyser
SPOT ON Sai Boarding And Lodging Near Kengeri Metro Station,"No 62\2 Anchepalya Kengeri, Bangalore",₹533,+ ₹94 taxes & fees,2.8,(26 Ratings),Fair,Free Wifi,Geyser,Power backup
SPOT ON Sri Ranganatha Boarding And Lodging,"Andrahalli Main Road, Bangalore",₹410,+ ₹89 taxes & fees,3.4,(44 Ratings),Fair,Free Wifi,Geyser,Power backup
SPOT ON SHI LAKSHMI BOARDING AND LODGING,"Nandini Layout, Bangalore",₹450,+ ₹94 taxes & fees,3.9,(102 Ratings),Good,Free Wifi,Geyser,Power backup
OYO Squar Stay,"Begur, Bangalore",₹588,+ ₹111 taxes & fees,3.3,(75 Ratings),Fair,Elevator,Free Wifi,Geyser
Flagship I Care With Greenery Comforts,"Koothi Thope, Bangalore",₹839,+ ₹141 taxes & fees,3.7,(87 Ratings),Good,Elevator,Geyser,Power backup
Flagship Gokul Residency,"Plot no. 1/road no. 04 whitefield . opp to whitefield railway station , Bangalore",₹519,+ ₹102 taxes & fees,3.2,(38 Ratings),Fair,AC,TV,
SPOT ON Sanjay Lodge,"Bangalore , Bangalore",₹416,+ ₹90 taxes & fees,2.5,(83 Ratings),Fair,Free Wifi,Geyser,Power backup
Collection O 81063 Day and Night Residency,"Chikkabanavara., Bangalore",₹631,+ ₹116 taxes & fees,3.3,(19 Ratings),Fair,Elevator,Free Wifi,Geyser
OYO Flagship IRA Comforts,"Banashankari 1st Stage, Bangalore",₹686,+ ₹122 taxes & fees,4.1,(64 Ratings),Very Good,Elevator,Free Wifi,Geyser
Collection O G Silver Polonest,"Bengaluru, Bangalore",₹1561,+ ₹227 taxes & fees,4.7,(147 Ratings),Excellent,Elevator,Free Wifi,Geyser
Super OYO SilverKey Executive Stay,"Yelahanka Zone, Bangalore",₹1697,+ ₹234 taxes & fees,4.5,(126 Ratings),Excellent,Reception,Free Wifi,Power backup
OYO Flagship 69693 The Royal Park,"Near OYE Amritsar, New Tippasandra, Banglore",₹1280,+ ₹194 taxes & fees,3.1,(35 Ratings),Fair,Elevator,Reception,Free Wifi
Capital O Sln Residency,NEAR GKVK JAKKUR PLANTATION,₹1046,+ ₹165 taxes & fees,3.6,(161 Ratings),Good,Parking facility,Reception,Free Wifi
Collection O Karanji Paradise,"R R Nagar, Bangalore",₹686,+ ₹122 taxes & fees,NEW,,,Elevator,Free Wifi,Geyser
OYO Flagship Lakshmana Hotel,"Agrahara, Bangalore",₹640,+ ₹117 taxes & fees,3.2,(34 Ratings),Fair,Free Wifi,Geyser,Power backup
OYO Anjani Fortune Suites,"Yelahanka Zone, Bangalore",₹796,+ ₹155 taxes & fees,3.8,(193 Ratings),Good,Private entrance,Elevator,Free Wifi
OYO Home Exotic Stay Bsk 3rd Stage,"Katriguppe, Bangalore",₹752,+ ₹130 taxes & fees,3.6,(254 Ratings),Good,Private entrance,Elevator,Free Wifi
Collection O Ya Inn And Suites,"frazer town, Bangalore",₹1039,+ ₹165 taxes & fees,4.1,(28 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Flagship Sri Chamundeshwari Boarding And Lodge,"arogya badavane srigandhakavalu, Bangalore",₹767,+ ₹132 taxes & fees,4.1,(39 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Flagship 65498 SK Lodge,"Near Kengeri Government Hospital, Kengeri Satellite Town, Bangalore",₹780,+ ₹134 taxes & fees,3.5,(106 Ratings),Good,AC,TV,
Collection O Goyal Residency,"Bangalore, Bangalore",₹1147,+ ₹178 taxes & fees,4.1,(120 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Flagship Hotel Royal Galaxy,"Bellandur, Bangalore",₹789,+ ₹135 taxes & fees,3.4,(144 Ratings),Fair,Elevator,Free Wifi,Geyser
Capital O Sri Krishna Suites Near 7d Voyage,"Bangalore Urban, Bangalore",₹1222,+ ₹187 taxes & fees,3.7,(53 Ratings),Good,Living Room,Reception,Washing Machine
OYO Flagship Turahalli Hotel,"Pavamanapura, Bangalore",₹1225,+ ₹187 taxes & fees,4.8,(7 Ratings),Excellent,Elevator,Free Wifi,Geyser
OYO Hotel Silver House Near Mantri Square Mall,"Arghar Dasrahalli Near Madhu Hospital Opp Maharaja Tent House Reliance Smart Building Magadi Main Road, Bangalore",₹912,+ ₹149 taxes & fees,3.9,(307 Ratings),Good,Parking facility,Reception,24x7 Facility Manager
OYO Flagship BNS Lodge Near National College Basavanagudi,"Basavanagudi, Bangalore",₹664,+ ₹120 taxes & fees,3.8,(20 Ratings),Good,AC,TV,
Collection O Hotel Millennium Plaza,"India, Bangalore",₹963,+ ₹156 taxes & fees,4.0,(43 Ratings),Very Good,Elevator,Free Wifi,Geyser
Collection O Hotel Champion Paradise,"India, Bangalore",₹1184,+ ₹182 taxes & fees,4.0,(90 Ratings),Very Good,Elevator,Free Wifi,Geyser
Collection O M&m Hospitality Kiap Airport Back Gate,"Bangalore North, Bangalore",₹1098,+ ₹172 taxes & fees,5.0,(2 Ratings),Fabulous,Elevator,Free Wifi,Geyser
SPOT ON SLN Comforts,"Tarabanahalli, Bangalore",₹588,+ ₹111 taxes & fees,3.7,(2 Ratings),Good,AC,TV,
OYO Townhouse 078 DODDA BANASWADI,"Near Udupi Upachar, Lakshmamma Layout, Bangalore",₹1098,+ ₹172 taxes & fees,4.4,(25 Ratings),Very Good,AC,TV,
OYO Flagship Sri Sai Guru Comforts,"Near Hosahalli Main Road, Hunasamaranahalli, Bangalore",₹644,+ ₹117 taxes & fees,3.4,(77 Ratings),Fair,Reception,Free Wifi,Power backup
OYO Flagship Grand Residency,"Near Lumbini Garden, Kempapur, Bangalore",₹804,+ ₹136 taxes & fees,3.5,(13 Ratings),Good,Parking facility,Reception,Free Wifi
OYO Hotel Golden Inn Near Cubbon Park,"Centrally Located, Near HKP Road, Shivaji Nagar, Bangalore",₹1025,+ ₹163 taxes & fees,3.2,(62 Ratings),Fair,,,
OYO Flagship Lakshmana Hotel,"Agrahara, Bangalore",₹640,+ ₹117 taxes & fees,3.2,(34 Ratings),Fair,Free Wifi,Geyser,Power backup
OYO Anjani Fortune Suites,"Yelahanka Zone, Bangalore",₹796,+ ₹155 taxes & fees,3.8,(193 Ratings),Good,Private entrance,Elevator,Free Wifi
OYO Home Exotic Stay Bsk 3rd Stage,"Katriguppe, Bangalore",₹752,+ ₹130 taxes & fees,3.6,(254 Ratings),Good,Private entrance,Elevator,Free Wifi
Collection O Ya Inn And Suites,"frazer town, Bangalore",₹1039,+ ₹165 taxes & fees,4.1,(28 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Flagship Sri Chamundeshwari Boarding And Lodge,"arogya badavane srigandhakavalu, Bangalore",₹767,+ ₹132 taxes & fees,4.1,(39 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Flagship 65498 SK Lodge,"Near Kengeri Government Hospital, Kengeri Satellite Town, Bangalore",₹780,+ ₹134 taxes & fees,3.5,(106 Ratings),Good,AC,TV,
Collection O Goyal Residency,"Bangalore, Bangalore",₹1147,+ ₹178 taxes & fees,4.1,(120 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Flagship Hotel Royal Galaxy,"Bellandur, Bangalore",₹789,+ ₹135 taxes & fees,3.4,(144 Ratings),Fair,Elevator,Free Wifi,Geyser
Capital O Sri Krishna Suites Near 7d Voyage,"Bangalore Urban, Bangalore",₹1222,+ ₹187 taxes & fees,3.7,(53 Ratings),Good,Living Room,Reception,Washing Machine
OYO Flagship Turahalli Hotel,"Pavamanapura, Bangalore",₹1225,+ ₹187 taxes & fees,4.8,(7 Ratings),Excellent,Elevator,Free Wifi,Geyser
OYO Hotel Silver House Near Mantri Square Mall,"Arghar Dasrahalli Near Madhu Hospital Opp Maharaja Tent House Reliance Smart Building Magadi Main Road, Bangalore",₹912,+ ₹149 taxes & fees,3.9,(307 Ratings),Good,Parking facility,Reception,24x7 Facility Manager
OYO Flagship BNS Lodge Near National College Basavanagudi,"Basavanagudi, Bangalore",₹664,+ ₹120 taxes & fees,3.8,(20 Ratings),Good,AC,TV,
Collection O Hotel Millennium Plaza,"India, Bangalore",₹963,+ ₹156 taxes & fees,4.0,(43 Ratings),Very Good,Elevator,Free Wifi,Geyser
Collection O Hotel Champion Paradise,"India, Bangalore",₹1184,+ ₹182 taxes & fees,4.0,(90 Ratings),Very Good,Elevator,Free Wifi,Geyser
Collection O M&m Hospitality Kiap Airport Back Gate,"Bangalore North, Bangalore",₹1098,+ ₹172 taxes & fees,5.0,(2 Ratings),Fabulous,Elevator,Free Wifi,Geyser
SPOT ON SLN Comforts,"Tarabanahalli, Bangalore",₹588,+ ₹111 taxes & fees,3.7,(2 Ratings),Good,AC,TV,
